rpm,cht_c,egt_c,oil_press_bar,oil_temp_c,fuel_flow_lph,vibration_g,battery_v,injection_deg,cht_residual,egt_residual,oil_pressure_residual,vibration_residual,degradation,fault,rul
5065.278,108.611,680.543,2.669,99.036,17.411,0.1151,14.261,23.604,-0.411,5.97,-0.695,0.0499,16.751,healthy,432.82
4860.147,154.594,663.547,2.776,100.518,15.673,0.0731,14.176,23.838,55.516,29.375,-0.074,0.0019,62.845,sensor_drift,274.85
4833.203,112.979,823.675,3.542,87.845,19.935,0.441,14.151,19.038,10.715,185.829,0.759,0.3677,100.0,combustion_instability,154.99
5155.848,146.993,751.74,3.701,118.291,19.378,0.1655,14.273,24.344,32.381,56.931,0.111,0.0931,72.015,coking_degradation,255.49
5037.442,156.849,742.46,3.045,122.9,19.463,0.1615,13.915,23.374,46.888,68.794,-0.248,0.0985,80.22,coking_degradation,232.75
5223.712,115.824,675.164,2.012,113.892,14.854,0.2482,13.817,24.605,3.022,-22.811,-1.748,0.1703,61.18,lubrication_issue,283.75
4862.973,160.248,800.704,2.614,122.496,19.464,0.1516,14.023,24.023,57.265,158.44,-0.244,0.0806,100.0,coking_degradation,164.18
4904.882,120.253,746.908,2.765,87.522,14.54,0.312,14.198,28.972,20.517,106.949,-0.197,0.2444,91.981,combustion_instability,172.33
5125.161,127.577,660.774,1.173,133.703,17.267,0.2958,14.082,20.532,16.303,-24.29,-2.34,0.2258,89.395,lubrication_issue,199.35
4764.888,134.8,718.582,3.206,100.225,16.288,0.4518,13.995,24.394,38.917,98.582,0.594,0.373,100.0,abnormal_vibration,141.56
5132.86,159.456,664.157,2.624,86.148,15.423,0.0526,14.194,23.521,49.719,-18.603,-0.908,-0.018,68.15,sensor_drift,257.1
5163.02,99.014,700.73,2.533,97.06,17.041,0.1722,11.646,21.578,-13.548,9.303,-1.074,0.0992,49.431,battery_alternator_health,338.33
5442.857,114.252,741.332,3.411,102.999,15.479,0.2925,14.176,23.16,-7.941,21.332,-0.789,0.197,52.407,abnormal_vibration,322.6
5197.887,121.546,670.336,3.875,93.224,15.846,0.0723,11.762,21.383,8.785,-24.975,0.18,-0.0036,32.799,battery_alternator_health,385.33
